Région,Département,Type d'établissement,Association / Fondation,Nom de l'établissement,Capacité,Descrption
Nouvelle Aquitaine,Deux Sèvres,Hébergement,Maison de la Salamandre,MECS La Salamandre I Maison de la Salamandre ,25.0,Valeur par défaut
Nouvelle Aquitaine,Haute Vienne,Hébergement,ALSEA 87,MECS Croix-Verte I ALSEA 87,25.0,Jeunes 10 à 21ans
Centre Val de Loire,Loiret,Hébergement,La VAGA,AE de l'Orléanais I La VAGA,26.0,"2 maisons d’enfants à Orléans et à Saint-Ay, pour 26 jeunes au total, de 6 à 17 ans."
Hauts de France,Oise,Hébergement,Apprentis d'Auteuil,MECS Joseph Wresinski I Apprentis d'Auteuil,26.0,"La mecs est en lien avec le collège Marcel Callo la Mecs peut accueillir 26 jeunes. Capacité : 26
Internat dimanche
Fratries acceptées
Accessibilité transport en commun"
Auvergne Rhône Alpes,Haute Savoie,Hébergement,Championnet,AJA L'Envol I Championnet,26.0,"Ces services accueillent 26 jeunes, filles et garçons âgés de 6 à 18 ans (à compter de 4 ans en cas de fratrie)."
PACA,Vaucluse,Hébergement,APPASE,MECS Le Regain I APPASE,26.0,"Garçons et filles de 16 à 21 ans en grande difficulté personnelle, familiale et sociale"
Nouvelle Aquitaine,Haute Vienne,Hébergement,Département de Haute-Vienne,Centre Départemental de l'Enfance I Département de Haute-Vienne,40.0,"Le pôle enfance, composé de 2 structures (chaque structure regroupant 2 unités) :
Structure 1 :
Urgence 11-13 ans : 5 places
Urgence 13-15 ans : 5 places
Structure 2 :
Urgence 6-10 ans : 6 places
Maison d'enfants à caractère social (MECS) 8-13 ans : 8 places
Le pôle adolescence, composé de 2 unités :
Maison d'enfants à caractère social (MECS) 13-16 ans : 8 places
Maison d'enfants à caractère social (MECS) 16-18 ans : 8 places"
Ile de France,Seine Saint Denis,Hébergement,Asso Jean Cotxet,AE de Saint-Denis I Asso Jean Cotxet,121.0,"SERVICE D’ACCUEIL FAMILIAL PERMANENT
Le service reçoit 101 jeunes, garçons et filles de 0 à 18 ans et jeunes majeurs jusqu’à 21 ans. Les enfants sont accueillis dans 2 services en fonction de leur âge : au service enfance jusqu’à 10 ans et au service des grands pour les plus de 10 ans.

Capacité d’accueil : 101 jeunes
Le service peut accueillir des fratries ensemble ou séparément.

SERVICE D’ACCUEIL FAMILIAL D’URGENCE
Le service reçoit 20 jeunes enfants âgés de 0 à 5 ans dans le cadre de l’accueil d’urgence.

Capacité d’accueil : 20 enfants
Le service peut accueillir des fratries ensemble ou séparément.
"
Nouvelle Aquitaine,Charente Maritime,Hébergement,ADSEA 17,MECS La Chancelée I ADSEA 17,27.0,"Les enfants, garçons et filles, sont âgés de 6 à 14 ans."
Pays de la Loire,Maine et Loire,Placement à Domicile,INALTA,PAD 49 I INALTA ,27.0,"Le service est habilité pour 27 places : 16 places à Angers et 11 places à Distré.
Jeunes enfants de 0 à 6ans"
Ile de France,Paris,Accueil de jour,Groupe SOS Jeunesse,SAJE 20ème I Groupe SOS Jeunesse,27.0,"Le Service d’Accueil de Jour Éducatif (SAJE) du XXe arrondissement de Paris, ouvert depuis le mois de janvier 2020, accompagne des enfants confiés à l’Aide Sociale à l’Enfance dans le cadre de mesures administratives ou judiciaires. 5 à 13 ans (4 à 17 dans le cadre d’accueil fratrie). "
Ile de France,Essone,Hébergement,Droit d'Enfance,Centre maternel Villa Jeanne I Droit Enfance,27.0,"Le centre maternel héberge (parfois dès la grossesse) 27 jeunes mères en grande vulnérabilité, isolées et parfois mineures. La Villa Jeanne les accompagne sur leur projet de vie et de protection pour leur(s) enfant(s)."
PACA,Alpes Maritimes,Hébergement,Ville de Cannes,MECS de Cannes I Ville de Cannes ,28.0,mineurs de 11 à 20 ans
Normandie,Calvados,Hébergement,OND,MECS La Roseraie I OND,28.0,"Nombre de places enfants (6 à 12 ans)
10
Nombre de places adolescents
10
Service D’accompagnement Educatif pour l’Enfant et sa Famille (SAEEF)
8 places"
Nouvelle Aquitaine,Charente Maritime,Placement à Domicile,ADSEA 17,PEAD La Chancelée I ADSEA 17,28.0,"Les enfants, garçons et filles, sont âgés de 6 à 14 ans."
Bourgogne Franche Comté,Jura,Hébergement,Juralliance,MECS Champandré I Juralliance,46.0,la capacité d’accueil : 28 places + 12 en placements à domicile et 6 en accueil d’urgence.
Grand Est,Moselle,Hébergement,Moissons Nouvelles,MECS de Woippy I Moissons Nouvelles,35.0,41 places d’internat d’aide sociale à l’enfance (ASE)  – 36 en hébergement et 4 appartements à disposition 
Grand Est,Moselle,Hébergement,CMSEA,MECS de Prés de Brouck I CMSEA,28.0,"capacité de 28 places, en internat continu, pour enfants âgés de 6 à 17 ans."
Hauts de France,Oise,Hébergement,Home de l'Enfance,MECS Jacques Sevin I Home de l'Enfance,28.0,"La Maison Jacques Sevin accueille 28 jeunes, garçons et filles, âgés de 5 à 18 ans, confiés au service de l’Aide Social à l’Enfance de l’Oise."
Hauts de France,Oise,Hébergement,Apprentis d'Auteuil,MECS Marcel Callo I Apprentis d'Auteuil,28.0,Le Service d’Accompagnement Vers l’Autonomie (SAVA) accueille des jeunes âgés de 16 à 21 ans
Grand Est,Haut Rhin,Hébergement,ARSEA,MECS René Cayet I ARSEA,33.0,Les garçons accueillis sont âgés de 14 à 18 ans et jeunes majeurs.3 unités de vie (2 de 10 jeunes et 1 de 8) + un groupe semi-autonome d’une capacité de 5 jeunes.
Auvergne Rhône Alpes,Savoie,Hébergement,Département de la Savoie,Accueil d'urgence I Département de la Savoie,28.0,"La Pouponnière (de la naissance à 3 ans) : 8 places
le Jardin d’Enfants (de 3 ans à 6 ans) : 8 places
le Tremplin (de 7 ans à 13 ans et jusqu’à 18 ans en cas de fratrie) : 12 places."
Auvergne Rhône Alpes,Haute Savoie,Hébergement,MDEF,MECS Appartado I MDEF (Département),28.0,enfants ou des adolescents jusqu'à 21 ans
Auvergne Rhône Alpes,Haute Savoie,Hébergement,MDEF,Maison Ponthior I MDEF (Département),28.0,Jeunes jusque 21ans
Ile de France,Yvelines,Hébergement,Groupe SOS Jeunesse,MECS Robert Vironneau I Groupe SOS Jeunesse,28.0,"20 places d’accueil en internat éducatif pour des adolescent(e)s 10-18 ans
8 places jeunes majeurs intégrées dans le « Service Jeunes Majeurs », service associatif départemental mutualisé."
Occitanie,Tarn,Hébergement,Arseaa,MECS Lucie Aubrac I Arseaa,28.0,Des unités 6-14 ans/15-17 ans/studios internes et un service de pré-autonomie de jeunes majeurs de 28 places
Occitanie,Tarn,Hébergement,Association Sainte-Marie,MECS Sainte-Marie I Association Sainte-Marie,40.0,Enfants et adolescents assujettis à une mesure de l'ASE ou placés par la PJJ
Bretagne,Finistère,Hébergement,Association Don Bosco,SASEP Brest Iroise I Association Don Bosco,29.0,"propose 29 places d’accueil en appartements individuels ou dans les Foyers de Jeunes Travailleurs brestois, pour des jeunes, garçons et filles, âgés de 16 à 21 ans, en situation de danger, et présentant des difficultés d'intégration sociale, scolaire ou professionnelle."
Pays de la Loire,Sarthe,Placement à Domicile,ACADEA,PAD La Foresterie I ACADEA ,32.0,"Service PEAD de la naissance à 13 ans, 32 places"
Ile de France,Val d'Oise,Hébergement,Groupe SOS Jeunesse,MECS Arobase I Groupe SOS Jeunesse,29.0,"16 places en accueil collectif pour les mineurs
13 places au service jeunes majeurs : studios, appartements en autonomie, chambres en FJT"
Auvergne Rhône Alpes,Allier,Hébergement,Groupe SOS Jeunesse,MECS Les Tourelles I Groupe SOS Jeunesse ,30.0,"Accueil 30 jeunes de 6 à 18 ans. Son objectif est d’assurer une prise en charge quotidienne structurante et bienveillante, dans une cadre de vie chaleureux, protecteur et ouvert sur la vie de la cité."
Auvergne Rhône Alpes,Haute Savoie,Hébergement,Championnet,SESSAD I Championnet,22.0,"SESSAD : 22 places pour garçons et filles de 0 à 20 ans, selon plusieurs modalités : accueil de jour, suivi ambulatoire."
Bourgogne Franche Comté,Doubs,Placement à Domicile,La VAGA,PEAD I La VAGA,55.0,55 mandats de placement éducatif à domicile (PEAD) depuis le 1er octobre 2021.
Bretagne,Ille et Vilaine,Hébergement,Apprentis d'Auteuil,AE MNA I Apprentis d'Auteuil,30.0,"Cette structure accueille des jeunes Mineurs Non Accompagnés (MNA), âgés entre 14 et 18 ans sur le bassin bretillien"
Pays de la Loire,Mayenne,Placement à Domicile,INALTA,PAD 53 I INALTA,30.0,"Il accompagne 30 situations de mineurs de 0 à 18 ans, à partir du domicile parental"
Grand Est,Moselle,Hébergement,CMSEA,MECS Océanie I CMSEA,30.0,"recevoir 30 enfants, garçons et filles, âgés de 3 à 17 ans, placés sous l'autorité judiciaire. La MECS fonctionne en internat continu tout au long de l'année. Les enfants sont répartis dans 4 unités éducatives en fonction de leur âge."
Auvergne Rhône Alpes,Rhone,Hébergement,Acolea,MECS Claire Demeure,30.0,"Les enfants sont accueillis sur 3 groupes de vie mixtes dans des chambres individuelles :
3 à 14ans"
Auvergne Rhône Alpes,Rhone,Hébergement,Acolea,MECS Les Peupliers I Acolea,30.0,"Dans le cadre de sa double habilitation ASE/justice, la maison d’enfants accueille 30 jeunes de 5 à 18 ans à Villeurbanne"
Pays de la Loire,Sarthe,Placement à Domicile,INALTA,PAD 72 I INALTA ,59.0,"Il accompagne trente enfants de 11 à 18 ans, à partir du domicile parental."
Ile de France,Paris,Hébergement,La VAGA,AETP I La VAGA,30.0,Les Accueils Educatifs Thérapeutiques de Paris prennent en charge 30 jeunes de 9 à 17 ans.
Hauts de France,Somme,Hébergement,Apprentis d'Auteuil,MECS François Libermann I Apprentis d'Auteuil,30.0,"accueille 20 garçons de 12 à 18 ans, et 10 filles de 12 à 18 ans.(hebergement diffus en semi autonomie)"
Bourgogne Franche Comté,Yonne,Placement à Domicile,La VAGA,AE de l'Auxerrois I La VAGA,30.0,1 service de placement à domicile de 30 enfants sur le site de Toucy.
Ile de France,Essone,Placement Familial,Asso Olga Spitzer,Centre d'Accueil Familial Spécialisé (CAFS) I Asso Olga Spitzer,30.0,"Le Centre d’Accueil Familial Spécialisé (CAFS) a un agrément 30 places pour l’accueil d’enfants, d’adolescents et de jeunes adultes (3 mois / 20 ans) qui sont reçus 24 heures sur 24 et 365 jours par an par des assistantes familiales à leur domicile, à partir d’une notification MDPH."
Ile de France,Seine Saint Denis,Placement à Domicile,Apprentis d'Auteuil,PAD + MECS  Martin Luther King I Apprentis d'Auteuil,69.0,"L'établissement divise en deux groupes de vie :

Le groupe Chiara Luce accueille des jeunes garçons et filles
Le groupe Marcel Callo accueille des jeunes garçons et filles et dispose de lits de repli pour le Service de Placement à Domicile ADOPHE
Le service ADOPHÉ accompagne des enfants et adolescents de Seine-Saint-Denis, âgés de 0 à 17 ans. L’enfant ou le jeune est suivi dans le cadre d’un placement à domicile.

Le dispositif a pour mission :

d’éviter les ruptures familiales,
de renforcer la fonction parentale,
de restaurer les liens familiaux, tout en conservant le cadre de vie habituel du jeune"
Ile de France,Val de Marne,Hébergement,Asso Jean Cotxet,AETP Villa Preaut I Asso Jean Cotxet,26.0,26 adolescentes âgées de 15 ans à 18 ans et des majeures.
Bretagne,Finistère,AEMO,Association Don Bosco,AEMO I Association Don Bosco,31.0,"accompagne 31 jeunes, filles et garçons, âgés de 17 à 21 ans, accueillis en hébergements individuels sur Brest Métropole."
Bretagne,Ille et Vilaine,Placement à Domicile,Armée du Salut, Placement à Domicile Cap Sud I Armée du Salut,31.0,31 places pour des enfants et adolescents de 1 à 18 ans 
Auvergne Rhône Alpes,Isère,Hébergement,La Sauvegarde Isère,MECS Rose Pelletier I La Sauvegarde Isère,31.0,Il reçoit des jeunes de 13 à 21 ans                                                                                                                            
Pays de la Loire,Loire Atlantique,Hébergement,ADAES 44,MECS la Jaunaie I ADAES 44,39.0,accueille des adolescents et jeunes majeurs de 13 à 21 ans
Normandie,Orne,Hébergement,Département de l'Orne,Foyer Départemental de l'Orne ,66.0,66 places de 8 à 21 ans en internat et en milieu diffus
Pays de la Loire,Sarthe,Hébergement,INALTA,MECS Pourquoi Pas I INALTA,31.0,"31 adolescents garçons et filles, âgés de 13 à 18 ans voir au delà dans le cas d'un contrat jeune majeur."
Ile de France,Yvelines,Hébergement,Groupe SOS Jeunesse,MECS Jean Vilar I Groupe SOS Jeunesse,31.0,"19 places en internat éducatif pour adolescents garçons ou filles âgés de 10 à 18 ans dans nos deux unités « Jean Vilar du Nord » et « Jean Vilar du Sud ».  Les chambres sont individuelles ou à deux lits.
3 places, créées fin 2013, en studios semi-autonomie, ouvertes à des jeunes âgés de 17 à 19 ans.
9 places jeunes majeurs intégrées dans le « Service Jeunes Majeurs », service associatif départemental mutualisé."
Pays de la Loire,Vendée,Hébergement,Apprentis d'Auteuil,MECS Charles de Foucauld I Apprentis d'Auteuil,31.0,"accueille au maximum 23 jeunes, garçons et filles en difficulté sociale et familiale ou en danger, âgés de 6 à 21 ans"
Nouvelle Aquitaine,Haute Vienne,Hébergement,ALSEA 87,MECS Croix-Verte du Grand Tilleul I ALSEA 87,8.0,8-12ans 
Nouvelle Aquitaine,Charente Maritime,Hébergement,SOS Villages d'Enfants,Village d'enfants de Gémozac I SOS Villages d'Enfants,32.0,"32 enfants sont pris en charge, Il comprend 7 maisons familiales et une maison commune ;"
Occitanie,Gard,Hébergement,Œuvre de La Miséricorde,MECS La Miséricorde I Œuvre de La Miséricorde,55.0,"Un enfant ou adolescent assujetti à une mesure de l'ASE ou placés par la PJJ est issu d'un milieu familial :
- qui n'est pas en mesure de garantir sa santé (par exemple, absence de soins médicaux), sa sécurité ou sa moralité,
- dans lequel les conditions de son éducation ou de son développement physique, affectif, intellectuel et social sont gravement compromises"
Nouvelle Aquitaine,Gironde,Hébergement,Institut Don Bosco,MECS de Castelnau-de-Médoc I Institut Don Bosco,32.0,"accueille 32 enfants, garçons et filles, de 3 à 18 ans, en internat, internat modulé, famille d’accueil et hébergement diversifié pour les grands adolescents"
Nouvelle Aquitaine,Gironde,Hébergement,Institut Don Bosco,MECS de Saint-André-de-Cubzac,32.0,"accueille 32 enfants, garçons et filles, de 3 à 18 ans, en internat, internat modulé, famille d’accueil et hébergement diversifié pour les grands adolescents"
Occitanie,Hérault,Hébergement,Association Jean Gailhac,MECS Béziers I Association Jean Gailhac ,32.0,"32 places sur 4 unités :

G1 (4-11 ans) 9 places à Béziers
G2 (11-14 ans) 9 places à Béziers
G3 (15-17 ans) 9 places à Béziers"
Occitanie,Lozère,Hébergement,La Providence,MECS La Providence I La Providence ,32.0,Jeunes de 6 à 21ans
Hauts de France,Oise,Hébergement,Home de l'Enfance,MECS Le Bosquet I Home de l'Enfance,32.0,"La maison d’enfants du Bosquet accueille 32 garçons et filles âgés de 11 à 18 ans au sein d’une première maison accueillant 20 garçons à Compiègne, et d’une deuxième pouvant accueillir 12 garçons et filles à Margny-lès-Compiègne."
Nouvelle Aquitaine,Pyrénées Atlantiques,Hébergement,AJIR,MECS Ajir I AJIR,32.0,"Villa 9 chambres :
9 chambres individuelles avec sanitaire individuel à la Villa
10 studios internes :
10 studios internes avec kitchenette
13 studios externes :
Sur Pau et agglomération"
Auvergne Rhône Alpes,Rhone,Hébergement,Acolea,MECS Marie Dominique I Acolea,32.0,"La maison d’enfant Marie Dominique accueille aujourd’hui 32 enfants de 5 à 18 ans. Elle se situe à Vernaison, dans le Sud-Ouest Lyonnais. Entre ville et campagne, elle offre des possibilités de transport et de déplacement autonome pour les enfants et les familles. C’est dans ce cadre sécurisant que nous aidons les enfants à grandir et devenir autonomes. Chaque enfant dispose d’un accompagnement personnalisé ce qui nous permet de nous adapter au mieux à ses besoins."
Pays de la Loire,Sarthe,Hébergement,ACADEA,Maison d'Enfants La Foresterie I ACADEA ,32.0,Maison d’enfants de 3 à 10 ans de 32 places
Ile de France,Paris,Hébergement,Groupe SOS Jeunesse,MECS Arobase I Groupe SOS Jeunesse,29.0,"29 jeunes de 12 à 21 ans :

16 places en accueil collectif pour les mineurs
13 places au service jeunes majeurs : studios, appartements en autonomie, chambres en FJT"
Centre Val de Loire,Indre,Hébergement,Adiaseaa,MECS de Déols I Adiaseaa,33.0,"Ce sont des filles et des garçons, des fratries âgées de 6 à 18 ans. L’accompagnement peut se poursuivre jusqu’à 21 ans à la demande du jeune dans le cadre de :

· Contrats jeune majeur(e) accordé par les départements

· Protection jeune majeur(e) prononcée par le juge des enfants                                                             Service d’internat mixte enfants : 9 à 10 enfants de 6 à 12 ans
Service d’internat mixte préados/ados : 9 à 10 jeunes de 12 à 16 ans
Pôle adolescents et jeunes adultes : 11 à 12 jeunes de 16 à 21 ans"
Grand Est,Meurthe et Moselle,Hébergement,Association REALISE,MECS Moulin de l'Asnée I Association REALISE,33.0,33 enfants et jeunes adolescent(e)s âgé(e)s de 6 à 16 ans
Grand Est,Moselle,AEMO,CMSEA,Dispositif Insertion Caméléon I CMSEA,20.0,"jeunes de 12 à 21 ans, orientés dans le cadre judiciaire ou administratif, dont les dangers repérés sont en lien avec des signes de déscolarisation ou d'errance de projet d'insertion."
Auvergne Rhône Alpes,Rhone,Hébergement,Acolea,MECS Les Pierres Dorées I Acolea,33.0,"3-9ans : 9
9-18ans : 24
"
Auvergne Rhône Alpes,Rhone,Hébergement,Apprentis d'Auteuil,MECS La Providence I Apprentis d'Auteuil,33.0,"L’établissement adapte son offre d’accompagnement selon les besoins du mineur, qui bénéficie d’une mesure en assistance éducative, en proposant trois types d’accueil : Une maison d’enfants, sous la forme d’hébergement collectif. À Caluire, la Maison d’enfants accueille 33 filles et garçons, âgés de 6 à 18 ans, répartis en 3 groupes de maturité distincte (groupe de progression)."
Bourgogne Franche Comté,Haute Saône,Centre Educatif,AHS,CEP St-Joseph I AHS,33.0,"Habilité par le Conseil Départemental de Haute-Saône et la Protection Judiciaire de la Jeunesse (PJJ), il accueille 33 jeunes en internat et 25 en journée. Il accompagne également 10 jeunes en service de suite et 35 au domicile."
Bourgogne Franche Comté,Saône et Loire,Hébergement,Association Rose Fleurie,MECS Le Chalet I Association Rose Fleurie,33.0,"Accueil Jeunes Mixtes,  3 à 18 ans"
Hauts de France,Somme,Hébergement,Apprentis d'Auteuil,MECS Pierre Carpentier I Apprentis d'Auteuil,33.0,Accueil d'enfants de 11 à 19 ans
Bourgogne Franche Comté,Doubs,Hébergement,ADDSEA,Unité de Vie I ADDSEA,35.0,jeunes de 5 à 13 ans. 
Centre Val de Loire,Indre,Hébergement,Mairie d'Issoudun,Maison de l'enfance I Mairie d'Issoudun,34.0,La capacité d’accueil est de 34 places à la journée entière et d’autres places sont attribuées pour des demi-journées. Les couches et les repas sont fournis. Le tarif horaire est calculé en fonction des revenus et du nombre d’enfants à charge du foyer.
Pays de la Loire,Sarthe,Hébergement,ACADEA,MECS Belvédère I ACADEA ,34.0,"Pouponnière, Maison d’enfants et d’adolescents de 0 à 21 ans et Maison des Familles"
Normandie,Calvados,Hébergement,OND,MECS de Troarn I OND,35.0,6-16ans avec accueil mixte et frateries
Grand Est,Moselle,Hébergement,CMSEA,MECS Les 5 chemins I CMSEA,45.0,"elle peut acceullir de 44 à 45 enfants  et adolescents en mixité, âgés de 3 à 18 ans"
Hauts de France,Oise,Placement à Domicile,Home de l'Enfance,PAD I Home de l'Enfance,35.0,"Il s’adresse aux enfants de 5 à 18 ans, incluant les fratries. C’est une alternative entre une mesure d’aide éducative en milieu ouvert et l’accueil permanent en maison d’enfants, chez les assistants familiaux…"
Hauts de France,Oise,Hébergement,La VAGA,MECS de l'Oise I La VAGA,35.0,"Maison d’enfants à caractère social pour 35 enfants et jeunes de 6 à 18 ans, qui comporte 3 groupes de vie."
Auvergne Rhône Alpes,Savoie,Hébergement,Les Etoiles d'Hetia,MECS Chaudan I Les Etoiles d'Hetia,51.0," Horizons & Oasis, deux unités accueillant chacun 10 enfants et adolescents de 5 et 14 ans.

Ces deux unités inculquent à l'enfant comment prendre soin de lui et permettent au jeune d'adapter au quotidien son rapport à la vie en collectivité. L'individualité est ici au coeur de la notion de collectif. Ils mettent par ailleurs en place les conditions nécessaires à l'éveil et à l'épanouissement de l'enfant. Enfin, ces deux unités font en sorte que les parents accompagnent leurs enfants et ce avec l'appui des éducateurs.

 La Villa, une unité accueillant des adolescents âgés de 14 à 18 ans.

L'idée de cette unité est d'accompagner les jeunes au quotidien afin de développer leur autonomie. L'accompagnement se focalise aussi sur l'aide à la construction de leur projet professionnel. Savoir être et savoir vivre sont au centre de la philosophie de cette unité.

 SAJM, un service d'accompagnement de 21 places pour jeunes, de 16 à 21 ans.

La poursuite de la recherche d'autonomie est ici appliquée aux attentes de jeunes adultes (gestion de la vie sociale, gestion d'un budget, entretenir une scolarité tout en s'assumant financièrement, trouver un travail, etc). Les solutions d'hébergement se divisent en deux possibilités :  des studios individuels ou des appartements en colocation (maximum 3 personnes)."
Ile de France,Paris,Accueil de jour,Groupe SOS Jeunesse,SAJE 19ème I Groupe SOS Jeunesse,35.0,"Le SAJE intervient auprès d’enfants en situation de risque de placement, qui ont bénéficié ou non d’une mesure de protection et pour lesquels un travail d’orientation est nécessaire.5-13ans (4-17 si fraterie)"
Ile de France,Paris,Placement Familial,Droit d'Enfance,Centre de placement familial Relais Alésia I Droit d'Enfance,35.0,"nous sommes habilités à recevoir 35 enfants, garçons et filles, âgés de 0 à 21 ans, prioritairement originaires de Paris. Ces enfants ou jeunes présentent pour la plupart des troubles psychologiques, causes ou conséquences des difficultés de la relation parents-enfant."
Normandie,Seine Maritime,Hébergement,Apprentis d'Auteuil,MECS Jean Bosco I Apprentis d'Auteuil,35.0,"Le Foyer Jean Bosco, situé au Havre, accueille 35 jeunes filles de 14 à 21 ans, majoritairement issues du département."
Nouvelle Aquitaine,Deux Sèvres,Placement Familial,Département des Deux-Sèvres,Maison Départementale de l'Enfance I Département des Deux-Sèvres,35.0,Placement Famille d'Accueil : 35 places
Hauts de France,Somme,Hébergement,ADSEA83,AETP Le Trait d'Union I ADSEA80,35.0,"Son agrément l'habilite à accompagner 35 enfants ou adolescents de 5 à 20 ans, présentant une déficience intellectuelle légère à moyenne avec ou sans troubles associés."
Nouvelle Aquitaine,Haute Vienne,Hébergement,Institut Don Bosco,MNA Limoges I Institut Don Bosco ,35.0,"un service d’hébergement et d’accompagnement éducatif pour 35 Mineurs Non Accompagnés (MNA), âgés de 14 à 18 ans, confiés par le Département de la Haute Vienne."
Grand Est,Vosges,Hébergement,FMS88,MECS La Passerelle I FMS88,35.0,"accueille 35 enfants âgés de 6 ans à 18 ans,
et quelques jeunes majeurs, accompagnés dans le cadre d’une mesure « jeune majeur » proposée par l’ASE."
Auvergne Rhône Alpes,Ain,Hébergement,Instituts d'Enfants Seillon,MECS + PFA Perronas I Instituts d'Enfants Seillon,66.0,"Hébergement Complet Internat : 26 places
Placement Famille d'Accueil : 40 places"
Auvergne Rhône Alpes,Ain,Hébergement,Instituts d'Enfants Seillon,MECS Saint-Nizier I Instituts d'Enfants Seillon,36.0,"établissement ayant l’habilitation du Conseil Général pour recevoir des jeunes de 4 à 21 ans relevant de l’Aide Sociale à l’Enfance. Elle peut accueillir des jeunes majeurs dans le cadre de la poursuite d’une prise en charge au sein de l’établissement.
Sa capacité est de 36 places permettant l’accueil sur trois groupes d’âge :
Un groupe d’enfants de 3 à 10 ans.
Un groupe de préadolescents de 11 à 13 ans,
Un groupe d’adolescents de 14 à 18 ans, voire de jeunes adultes."
Nouvelle Aquitaine,Charente Maritime,Hébergement,SOS Villages d'Enfants,Village d'enfants de Beauvais sur Matha I SOS Villages d'Enfants,36.0,"36 enfants sont pris en charge, Il comprend 8 maisons familiales et une maison commune ;"
Grand Est,Moselle,Hébergement,CMSEA,CAA | MECS I CMSEA,24.0,"24 places, mineurs âgés de 13 ans à 17 ans, et plus
 Garçons"
Hauts de France,Oise,Hébergement,Apprentis d'Auteuil,MECS Béthanie I Apprentis d'Auteuil,36.0,"MECS Béthanie - Maison des fratries accueille en fratrie 36 garçons et filles, de 3 à 18 ans"
Grand Est,Bas Rhin,Hébergement,ARSEA,AE Château d'Angleterre I ARSEA,36.0,"La structure peut accueillir, 36 adolescents en internat, 24 en accueil de jour et accompagner 4 adolescents en placement à domicile. Ils sont âgés de 13 à 21 ans et sont confiés soit par ordonnance du juge des enfants, soit par le Service de protection de l’enfance. Il est aussi conventionné pour l’accueil de 150 Mineurs Non Accompagnés et 50 Jeunes Majeurs hébergés en appartements collectifs extérieurs."
Pays de la Loire,Sarthe,Hébergement,ACADEA,MECS Jeanne Delanoue I ACADEA,36.0,"Pouponnière, Maison d’Enfants et d’Adolescents de 0 à 21 ans et Maison des Familles."
Pays de la Loire,Sarthe,Hébergement,ACADEA,MECS Les Pléiades I ACADEA ,36.0,Maison d’Enfants et d’Adolescents de 3 à 21 ans et Maison des Familles
Ile de France,Seine et Marne,Placement à Domicile,Action Enfance, PEAD de Clairefontaine I Action Enfance,36.0,"Depuis septembre 2021, un accueil de placement à domicile (PEAD) de 36 places a ouvert au Village."
PACA,Var,Hébergement,Apprentis d'Auteuil,MECS La Valbourdine I Apprentis d'Auteuil,36.0,accueille 36 jeunes âgés de 6 à 21 ans
Auvergne Rhône Alpes,Rhone,Hébergement,Acolea,MECS Balmont I Acolea,37.0,"Les enfants sont accueillis sur 4 groupes de vie mixtes par tranches d’âge dans des chambres individuelles :
5-10ans : 8
10-12ans : 11
12-15ans : 10
15-18ans : 8"
Ile de France,Yvelines,Hébergement,Asso Jean Cotxet,AE de Neauphle-Le-Chateau I Asso Jean Cotxet,37.0,"L’établissement reçoit 37 jeunes, filles et garçons, âgés de 4 à 21 ans."
Nouvelle Aquitaine,Charente Maritime,Hébergement,ADSEA 17,Institut Paule Maraux I ADSEA 17,38.0,Mission de protection auprès des mineurs en difficulté sociale ou familiale. Mixte de 14-20ans
Auvergne Rhône Alpes,Isère,Hébergement,EPDA,MECS Le Chemin I EPDA,45.0,Établissement Mixte
Hauts de France,Oise,Hébergement,Home de l'Enfance,MECS Acacia I Home de l'Enfance,38.0,"La maison d’enfants de l’ACACIA accueille 38 garçons et filles à partir de 5 ans, en un seul lieu où sont implantés trois unités de vie indépendantes."
Bourgogne Franche Comté,Saône et Loire,Centre Educatif,Sauvegarde72,CER Le Village I Sauvegarde71,38.0,38 places mixtes (dont 3 d’urgence) pour des jeunes de 14 à 18 ans (21 ans dans le cadre de contrat jeune majeur avec l’ASEF).
Bourgogne Franche Comté,Yonne,Hébergement,La VAGA,AE du Sénonais I La VAGA,35.0,"3 maisons d’enfants, des appartements de semi autonomie et des chambres en résidence pouvant accueillir 35 enfants."
Occitanie,Gard,Hébergement,Protestante des amis des pauvres,MECS Lumière et Joie I Protestante des amis des pauvres ,39.0,Accueil mixte
Auvergne Rhône Alpes,Rhone,Hébergement,Itinova,MECS Le Port I Itinova,39.0,"Actuellement, l’établissement du Port accueille 39 jeunes de 10 à 18 ans en difficulté familiale et/ou sociale, placés sous protection de l’enfance répartis sur 2 services."
PACA,Var,Hébergement,Apprentis d'Auteuil,MECS MNA Saint-Elme I Apprentis d'Auteuil,39.0,accueille 39 jeunes mineurs non-accompagnés
Ile de France,Val de Marne,Hébergement,Asso Jean Cotxet,AE de Thiais I Asso Jean Cotxet,39.0,filles et garçons âgés de 12 à 21 ans.  39 places dont 16 places dans un dispositif d’appartement et pavillon travaillant l’autonomie. Nous mettons à disposition 1 place en hébergement temporaire pour le dispositif ADOPHE 94
PACA,Alpes de Haute Provence,Hébergement,SOS Villages d'Enfants,Village d'enfants SOS de Digne-les-Bains I SOS Villages d'Enfants,40.0,"Un village d’enfants SOS récent, regroupé, accueillant des fratries de 8 départements et recevant des enfants pour de longues durées,
- Capacité théorique d’accueil : 40 enfants 
- 37 enfants accueillis 
- 0-5 ans : 9
- 6-10 ans : 12
- 11-14 ans : 11
- 15-17 ans : 2
- Jeune majeur : 1
"
